,city,latitude,longitude,time dt,timezone,temperature,humidity_perc,cloudiness_perc,wind_speed
183,ashland,38.48,-82.64,1561595042,-14400,84,69,1,5.19
185,salalah,17.01,54.1,1561595239,14400,82.4,94,90,6.93
188,kahului,20.89,-156.47,1561595345,-36000,81.07,88,75,10.29
189,manoel+urbano,-8.84,-69.26,1561595346,-18000,76.22,76,2,2.13
191,the+valley,18.22,-63.06,1561595102,-14400,81.99,74,40,6.93
192,liwonde,-15.05,35.2,1561595350,7200,59.84,90,91,6.38
193,semey,50.41,80.25,1561595351,21600,67.4,49,0,11.7
194,cockburn+town,21.46,-71.14,1561595352,-14400,81.98,80,31,16.4
196,palmer,-34.85,139.16,1561595355,34200,61.36,51,0,16.11
197,senanga,-16.1,23.3,1561595356,7200,54.8,47,0,5.41
198,pangnirtung,66.15,-65.72,1561594621,-14400,53,54,0,5.44
199,chokurdakh,70.62,147.9,1561595285,39600,65.24,33,9,13.49
200,severo-kurilsk,50.68,156.12,1561595228,39600,40.58,97,100,15.93
201,alpoyeca,17.67,-98.51,1561595361,-18000,67.04,92,95,5.1
202,mabaruma,8.2,-59.78,1561595362,-14400,72.44,96,42,2.3
203,mongu,-15.27,23.14,1561595363,7200,53.18,51,0,4.12
204,talnakh,69.49,88.39,1561595217,25200,46.4,57,0,8.95
205,zhigansk,66.77,123.37,1561595366,32400,72.98,50,0,8.72
206,ambon,47.55,-2.56,1561595367,7200,72.34,94,0,13.87
207,voyinka,45.87,33.99,1561595368,10800,73.52,58,0,13.22
208,iqaluit,63.75,-68.52,1561595370,-14400,44.24,75,20,8.05
209,pilar+do+sul,-23.81,-47.72,1561595371,-10800,61.1,98,100,2.71
210,cabo+san+lucas,22.89,-109.91,1561595336,-21600,85.48,31,5,11.41
211,tiksi,71.64,128.87,1561595091,32400,68.48,38,17,10.8
212,georgetown,6.8,-58.16,1561594947,-14400,81.41,78,75,11.41
213,yamada,36.58,137.08,1561595376,32400,81.61,61,75,14.99
214,slubice,48.73,14.32,1561595377,7200,70.25,69,0,9.17
216,brae,60.4,-1.35,1561595379,3600,51.8,87,93,8.05
217,aykhal,65.95,111.51,1561595381,32400,64.4,59,40,4.47
218,dhidhdhoo,6.88,73.1,1561595382,18000,82.88,79,100,12.91
219,poronaysk,49.22,143.1,1561595383,39600,54.98,58,18,11.92
220,opelousas,30.53,-92.08,1561595384,-18000,86.22,62,1,5.82
221,luderitz,-26.65,15.16,1561595223,7200,46.4,93,0,2.24
223,morro+bay,35.37,-120.85,1561595290,-25200,72.73,77,1,11.41
224,esso,55.93,158.7,1561595225,43200,48.32,60,96,9.04
226,makakilo+city,21.35,-158.09,1561595186,-36000,79.03,83,75,9.17
228,purpe,64.48,76.69,1561595394,18000,46,92,100,5.99
229,lavrentiya,65.58,-170.99,1561595395,43200,48.14,97,100,11.97
230,sibi,29.55,67.88,1561595397,18000,90.98,26,0,6.24
231,faanui,-16.48,-151.75,1561595398,-36000,80.54,72,0,6.11
232,sao+felix+do+xingu,-6.64,-51.99,1561595399,-10800,75.32,66,86,3.58
233,tuktoyaktuk,69.44,-133.03,1561595226,-21600,41,75,90,17.22
234,hovd,63.83,10.7,1561595402,7200,51.62,76,75,20.8
235,ponta+do+sol,-20.63,-46,1561595403,-10800,68.66,55,98,2.62
236,ostrovnoy,68.05,39.51,1561595405,10800,51.02,75,100,15.32
238,pabianice,51.66,19.36,1561595407,7200,76.84,65,0,4.7
239,olinda,-37.84,145.39,1561595408,36000,56.79,66,56,12.75
241,san+nicola,40.61,8.99,1561595411,7200,74.62,73,0,3.36
242,montague,46.17,-62.65,1561595264,-10800,63.37,55,75,10.29
243,maldonado,-34.91,-54.96,1561595414,-10800,46.4,75,0,4.7
244,port+elizabeth,39.31,-74.98,1561595415,-14400,81.28,69,1,6.78
245,kavaratti,10.57,72.64,1561595416,19800,82.88,77,75,15.82
246,skelleftea,64.75,20.95,1561595417,7200,52.79,62,98,11.41
247,lagunas,-5.23,-75.68,1561595419,-18000,75.68,86,2,2.55
248,boa+vista,2.82,-60.67,1561595158,-14400,80.6,78,40,5.82
249,lemon+grove,32.74,-117.03,1561595422,-25200,70.09,56,1,8.05
250,oranjestad,12.52,-70.03,1561595364,-14400,82.4,74,20,23.04
251,shache,38.42,77.24,1561595425,28800,69.02,41,34,2.51
252,denpasar,-8.65,115.22,1561595073,28800,73.4,88,40,5.82
253,kalmunai,7.42,81.82,1561595427,19800,75.68,76,100,2.8
254,nikolskoye,59.7,30.79,1561595251,10800,56.7,82,0,2.24
255,santa+cruz,36.97,-122.03,1561595315,-25200,69.94,68,1,11.41
256,weston,41.2,-73.38,1561595432,-14400,76.87,61,1,4.7
257,margate,-43.03,147.26,1561595433,36000,44.83,76,0,14.99
258,mehamn,71.03,27.85,1561595434,7200,45.62,89,100,16.51
259,victoria,5.28,115.24,1561595219,28800,81.39,88,75,2.24
260,nurota,40.56,65.69,1561595437,18000,73.4,40,26,6.02
262,sola,-3.17,33.8,1561595439,10800,68.66,68,100,3.78
263,ostrogozhsk,50.86,39.08,1561595441,10800,59.84,78,70,6.73
264,togur,58.36,82.83,1561595442,25200,65.24,74,79,10.87
265,qaanaaq,77.48,-69.36,1561595223,-10800,36.98,67,7,3.87
266,quesnel,52.98,-122.49,1561595444,-25200,60.8,72,90,8.05
267,ninghai,29.29,121.42,1561595446,28800,79.72,83,20,4.47
268,carnarvon,-30.97,22.13,1561595226,7200,40.04,45,0,4.97
269,sorland,67.67,12.69,1561595310,7200,47.96,87,98,17.9
270,norman+wells,65.28,-126.83,1561595449,-21600,60.8,38,20,10.29
272,lichuan,30.3,108.94,1561595452,28800,71.9,81,97,5.66
273,meulaboh,4.14,96.13,1561595453,25200,81.26,77,98,6.64
274,timizart,36.8,4.25,1561595454,3600,79.1,57,0,15.77
275,ukiah,39.15,-123.21,1561595456,-25200,65.97,37,1,6.93
276,renukut,24.22,83.04,1561595457,19800,85.4,65,100,4.63
277,pau+dos+ferros,-6.11,-38.21,1561595458,-10800,72.8,72,72,5.21
278,avera,33.19,-82.53,1561595459,-14400,79.25,65,1,3.36
279,nishihara,35.74,139.53,1561595461,32400,80.58,65,75,5.82
280,nanortalik,60.14,-45.24,1561595462,-7200,38.06,99,100,8.05
281,viterbo,42.42,12.1,1561595463,7200,72.39,83,0,4.7
282,herat,34.35,62.22,1561595464,16200,73.16,14,0,14.83
283,sabang,13.8,121.11,1561595335,28800,77.48,89,100,3.83
284,vero+beach,27.64,-80.4,1561595295,-14400,84,79,1,9.17
285,north+bend,43.41,-124.22,1561595468,-25200,55.17,93,90,4.7
287,airai,-8.93,125.41,1561595233,32400,73.88,58,30,3.09
288,haines+junction,60.75,-137.51,1561595472,-25200,61.1,56,98,1.99
289,abbeville,50.11,1.83,1561595473,7200,61.34,93,90,6.93
290,amahai,-3.31,129,1561595474,32400,77.84,83,83,12.41
291,matay,28.42,30.79,1561595476,7200,80.72,34,0,9.48
292,husavik,50.56,-96.99,1561595238,-18000,80.01,27,0,5.99
293,naryan-mar,67.67,53.09,1561595478,10800,48.14,68,100,7.16
294,rehoboth,-23.31,17.08,1561595479,7200,49.04,30,89,4.38
295,leh,34.16,77.58,1561595481,19800,27.44,56,16,3.76
296,mount+isa,-20.73,139.49,1561595482,36000,68,40,29,9.17
297,constanza,18.91,-70.74,1561595483,-14400,77,83,40,6.93
298,punta+alta,-27.46,-55.82,1561595484,-10800,50,57,0,5.82
299,segou,12.41,-12.29,1561595486,0,86,51,75,9.17
300,tokur,53.13,132.9,1561595487,32400,58.4,50,0,5.79
301,soyo,-6.13,12.37,1561595488,3600,73.7,78,2,9.26
302,lodwar,3.12,35.6,1561595489,10800,82.88,46,1,14.54
303,thompson,55.74,-97.86,1561595216,-18000,60.8,67,75,2.24
304,poso,-1.4,120.75,1561595492,28800,67.4,88,61,2.86
305,alice+springs,-23.7,133.88,1561595328,34200,53.6,37,0,7.11
306,sept-iles,50.2,-66.38,1561595442,-14400,54.82,100,90,9.17
